name,stars,user_review
Durazno Blanco Especial,1,3 de 5 vinieron en muy mal estado (aplastados y con la piel salida)
Pollo Congelado Entero Con Menudo 2.5 kg,1,El pollo es una paloma de lo chiquito que es. Decia 2.3kg aprox   y no llega ni al 1.5kh
Filete De Pechuga Familiar Toledano Empacada 1.55 kg,1,"Me tarejieron el que no era y encima olia mal, a pedo, se que es culpa de los del extra no de ustedes, pero les dejo la queja para que se la pasen a su socios del extra."
Muslo de Pollo Congelado San Fernando de 900g A 1.3 kg,1,Solo trajeron un muslo
Granadilla Malla 5 Unidades,1,Están muy verdes
Roast Beef Feteado Al Vacío La Anónima,1,"Ne faltaron varios productos, los cuales fueron facturados y no fueron entregados"
Espinaca Envasada 1 Unidad,1,Pésimo estado. Completamente llena de tierra y las hojas todas picadas
Aguacate Hass Marielita 6 Unidades,1,Estan pasados de maduros
Cilantro Tradeau Ancho 1 Unidad,1,Me mandaron lo que no era
Frutas Premiun Mix Unidad,1,"Enviaron las frutas diferentes, recibi Frutas Tropicales no las Premium y tienen una diferencia en precio considerable."
Aguacate Verde Horti Fresh 1 Unidad,1,No llego ni los plátanos ni el aguacate
Mango A Mano 1 Unidad,1,Estaba feo totalmente
Limón Persa,1,No supieron tomar los que tienen jugo de verdad
Paleta Churrasco Fresca Al Vacío Novillo,1,Horribles super gruesas no se podia comer
Suprema Congelada De Pollo Filete 2 kg,1,Vino abierto y con poca suprema
Pera,1,"Verde, seca y dura"
Cuadrada Feteada Fresca Al Vacío Novillo,1,Pura grasa la milaneza
Limón Selección,1,Están podridos
Paleta Churrasco Fresca Al Vacío Novillo,1,Me llegó producto distinto
Mandarina Okitsu,1,Llegaron verdes y agrias
Pechito De Cerdo Fresco Al Vacío,1,Está en mal estado. Carne podrida
Tomate Perita Selección 500 g,1,3 de 4 malos
Tomate Perita,1,Están podridos algunos
Pechito De Cerdo Fresco Al Vacío,1,Hola buenas noches. El pechito de cerdo tiene un olor no adecuado le falta refrigerancion siempre q pido en ese market siemore lo mismo
Papa Lavada Blanca Selección,1,"No era papá lavada, sino cepillada"
Plátano Maduro 1 lb,1,Venían verdes
Carré De Cerdo Deshuesado Fresco Al Vacío,1,Quería 2 kg me dieron un kilo 400  No me alcanza y encima me cobraron de más quiero mi plata la diferencia
Plátano Maduro 1 lb,1,Verdes
Camarones 16/20 Netuno 2 Lb,1,No Fue El Mismo De La Imagen Y Marca
Granadilla Malla 5 Unidades,1,"Super viejas y maduras, mala calidad"
Frutilla 500 g,1,Esta con hongos!!!
Carne Vacuno Sobrecostilla Importado 550 g,1,Carne podrida con olor a descompuesto
Corazon De Pollo 1 kg,1,"Solo me han dado 360 gramos, que equivale a 4.66 soles. Y me están cobrando 12.9 soles."
Papa Malla 2 lb,1,Las papas estaban partidas y en mal estado
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,Me enviaron solo una chuleta
Banana Seleccion,1,Estaba verde
Carré De Cerdo Deshuesado Fresco Al Vacío,1,Vino la mitad del peso que pedi
Toronja Unidad,1,No venían
Lechuga Capuchina,1,Muy chica
Mandarina Importada Agro,1,No tenía jugo y estaba súper cara
Banana Seleccion,1,Bananas magulladas! 👎
Lechuga De Seda Hidropónica De Invernadero Ecologic,1,Me llegó un cuarto de lechuga aplastada
Tomate Italiano,1,Vinieron 2 unidades  muy maduras
Matambre Vacuno Al Vacío,1,"En los tres paquetes de matambre saque  Un kilo 300 Gramos de Grasa , es una locura. No cumple con lo dice."
Aguacate Importado Por Media Libra,1,No vino
Costilla De Cerdo Congelada Importada 1 lb,1,Eeso no es costilla es pansa de cerdo pesimo
Kit Parrillero Franz Chorizos Y Morcilla 1 Unidad,1,El kit parrillero no vino fresco y tiene un olor a descompuesto
Chiltoma Grande Malla 12 Unidades,1,Chiltomas extremadamente pequeñas
Papas Nacionales 0.5 lb,1,Dañada
Picanha Argentina Osso X Kg,1,Nunca me llego. Ni una picaña
Papa Blanca,1,No respetaron el precio del app
Uvas Verdes Sin Semilla 1 lb,1,Un paquete de uva estaba dañado
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,"No fue lo que pedí, me enviaron otra cosa."
Lechuga Capuchina,1,Vino otro tipo de lechuga
Pollo Entero Fresco con Menudo 2.85 kg,1,Un pollo pesa menos de un kilo
Lechuga Capuchina,1,Vino con las hojas feas
Kiwi  6 Unidad,1,They are rotten and inedible.
Carne Vacuno 1854 Lomo Vetado Importado 550 g,1,Abierto
Tomate Redondo Selección,1,Super verdes
Plátano Maduro 1 lb,1,Es plátano verde
Durazno,1,En mal estado
Tomate Buy & Eat Cherry 250 g,1,Podridos!
Camote Amarillo 1 Lb,1,Me mandaron solo 1 libra y pedí más
Paleta Churrasco Fresca Al Vacío Novillo,1,Dura es poco...y llena de membrana... Imposible rescatar churrascos enteros. Vender esto es estafar al cliente
Kiwi Selección,1,"Vinieron blandos, súper madurados, no se pueden ni comer"
Churrasco De Cuadril Fresco Al Vacio,1,Tenia demasiado olor feo
Banana Seleccion,1,Muy maduras. Todas blanditas y una hasta con líquido
Lechuga Morada 1 Unidad,1,No me mandaron!
Papa Blanca,1,"Me trajeron papas negras, malas."
Nalga Feteada Fresca Al Vacío,1,Mini milanesas. Una vergüenza. Ni para copetín sirve.
Mandarina Importada Agro,1,"9mil gs por una unidad, una locura"
Banana Seleccion,1,Todas podridas
Banana Ecuador,1,Estan re contra pasadas
Frutilla 500 g,1,Venían con hongos ☹️
Lechuga Mix Fisema 150 g,1,Vence el 18/03 corto vencimiento
Banana Ecuador,1,Bananas pasadas
Durazno Blanco Especial,1,Podridos con gusano!
Piernas De Pollo Macafri Sin Congelacion (4 Unidades) 640 g,1,El pollo está podrido huele mal
Ensalada Del Cocinero Sueño Verde 200 g,1,Vino abierta y los ingredientes desparramados
Tomate Buy & Eat Cherry 250 g,1,"Los tomates vinieron horribles. Algunos re pasados, aplastados y otros verdes."
Manzana Red Elegida Gaucho,1,Vinieron golpeadas y estaban arenosa en su sabor
Acelga X Atado,1,Muy Chamuscada
Lechuga La Villoria Hidropónica Fresca 1 Unidad,1,Machacada
Jengibre,1,No fresco
Tomate Buy & Eat Cherry 250 g,1,Todos los tomates podridos
Pera,1,Todas pasadas para tirar
Manzana Verde Premium Granny Smith 1 kg,1,No vinieron las manzanas
Plátano Maduro 1 lb,1,Están verdes
Plátano Maduro 1 lb,1,Muy verde
Patitas De Pollo Congelado,1,Mal estado
Banana Ecuador,1,Feos y podrido
Palta Hass  Selección 115 g,1,Las paltas estaban duras
Jarrete Sin Hueso 0.5 Libra,1,Puro pellejo
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,Solo enviaron una chuleta no 3 como en la foto y dudo que pese una libra.
Carne Vacuno Ganso 1854 Importado 550 G,1,Se me hizo cobro y no venía el pedido bolsa rota
Zanahoria Punto Azul En Bolsa 1 kg,1,No llego la zanahoria
Tomate Redondo Selección,1,"Son tomates verdes, ni siquiera empezando a madurar"
Pepino Selección 1 Unidad,1,no llego el pepino
Palta Hass Inmadura 115 g,1,La palta  súper inmadura y Miniatura
Mandarina Importada Agro,1,La Mandarina me llego solo 1 unidad
Nalga Feteada Al Vacío Novillo Fresca,1,Jamas me la entregaron.
Tomate Italiano,1,No llegó
Banana Ecuador,1,Me llegaron reeeeee verdes
Palta Hass Inmadura 115 g,1,No llego en el pedido
Papa Malla 2 lb,1,Vino una papa mala
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,Un engaño nada parecido a la foto
Lechoza Roja,1,Más verde imposible. Cuando escojan una Lechoza favor escoger una que este bonita y bien rojota por adentro
Banana Ecuador,1,3 pasadas y 4 verdes
Lechuga Hidropónica Pirati Babilonia Unitario,1,Estaba fea
Palta Hass Inmadura 115 g,1,Vinieron solo 3 y pedí 6
Banana Ecuador,1,La banana tambien
Tomate Buy & Eat Cherry 250 g,1,vino el paquete abierto y los tomates estan podridos
Nalga Feteada Al Vacío Novillo Fresca,1,"Llegó en mal estado, mucho líquido en la bolsa xq se descongeló y un olor a muerto impresionante e imposible de guardar en la heladera o comer, estaba en fecha pero 100% perdió la cadena d frío."
Espinaca Buy & Eat 300 g,1,No llego
Banana Ecuador,1,Pedi 3 bananas y mandaron 7
Paleta Fresca Al Vacío Novillo,1,"Una vez más vino en mal estado, de cada 4 compras una viene fea, al abrir el blister sale muy feo olor.. una lastima tener que tirar la comida.."
Bistec De Pechuga De Pollo Super Pollo Fresco 530 g,1,Una de las bandejas de pollo está podrida
Brote De Brocoli Agrosano 70 g,1,No recibí este producto
Manzana Granny Smith Bandeja 1 Unidad,1,"Pésimo, pedí una bandeja y me trajeron una unidad."
Dátiles,1,Uno de los dos paquetes vino vencido.
Tira De Asado Congelada,1,Durísima
Tapa De Nalga,1,No estaba fresco y tiene ma olor
Palta Hass Inmadura 115 g,1,"Inmaduras, súper verdes"
Palta Hass Inmadura 115 g,1,Completamente verdes. No van a madurar.
Banana Ecuador,1,Muy pasadas
Banana Ecuador,1,La banana estaban todas pasadas!!!
Palta Hass  Selección 115 g,1,Vine fea
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,Están malas.
Carne Molida De Primera  Fresca 1 kg,1,La bolsa está rota y la carne tiene quemarse en el congelador.
Papas Nacionales 0.5 lb,1,"De 12 papas 7 vinieron dañas, verdes y con gusano"
Palta Hass  Selección 115 g,1,Reedura y pedi madura
Banana Seleccion,1,Están en mal estado.
Banana Ecuador,1,Están verdes
Paleta,1,Esta fea me mandaron carne qué vencía el mismo dia
Palta Hass  Selección 115 g,1,Mal estado
Durazno Sin Marca 8 Unidades,1,No vinieron. Las 8 unidades solo 4
Aguacate Hass Unidad,1,El aguacate está prácticamente pasado Extremadamente maduro
Naranja para jugo,1,Faltaron las naranjas y no me lo devolvieron. Solo la lata de arbeja y zanahoria me devolvieron... Y me mandan de recompensa un cupón que nisiquiera es el valor de las naranjas 👎
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,No llego
Tomate Italiano,1,NO LLEGÓ EL TOMATE
Espinaca 500 g,1,Está en mal estado oyravez
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,No es lo Qoe pedí
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,No estaban frescas
Palta Hass  Selección 115 g,1,Verde me enviaron la palta
Limón,1,No fue entregado
Manzana Roja,1,Nada q ver a la foto mini manzanas
Zapallito Redondo Selección 1 Unidad,1,Zapallo viejo
Bife De Chorizo El Mercado,1,Pensé que venían cortados
Repollo Colorado x Unidad,1,Vino una mitad muy seca y gris
Palta Hass  Selección 115 g,1,"ESTÁN VERDES, es siempre lo mismo. Pago un poco de más para comerlas ahora y me vienen durísimas"
Paleta Churrasco Fresca Al Vacío Novillo,1,"El producto estaba baboso, con feo olor abombado, ya me había pasado con pollo, pero con carne me sorprendió, una lastima."
Plátano Seda M 1 kg,1,Pésimo
Chuleta De Cerdo Fresca Brea Cruz Congelada 1 lb Aproximadamente,1,La carne está dañada enviar a buscarla y hacerme la devolución
Filet Congelado De Pechuga De Pollo 2 kg,1,Poca cantidad no es el peso
Banana Ecuador,1,"Horribles, negras, pasadisimas"
Naranja Jugo Selección,1,MINI NARANJA.
Espinaca Buy & Eat 300 g,1,"No se ven frescos, realmente"
Carne Vacuna Picada Magra,1,No la recibi
Paleta Churrasco Fresca Al Vacío Novillo,1,Es la primera vez q nos pasa q vino súper grasosa la carne  Casi 1 tercio d la Totalidad desperdicio Una pena
Pimiento Rojo,1,Uno de los pimientos estaba con hongos
Palta Hass Chilena,1,Me llegó solo una y pedí 3
Papa Amarilla,1,Papas pequeñas y llenas de tierra negra
Papa Rosada,1,me mandaron 1.055 y yo pedí 2kg
Lechuga Mantecosa,1,No llegó mi pedido
Tomate Criollo Tomatoya 1 lb,1,"Me trajeron unos tomates demasiados verdes, en la imagen vende um tomate rojo, maduro y es lo que uno espera"
Guinea 0.5 lb,1,Podridos
Manzana Golden Por Media Libra,1,"Fatal vino golpeada, escogieron la peor para enviármela"
Platano Barraganete Del Productor 1 Un Aprox 290 g,1,Quería uno maduro y lo mandaron verde
Palta Hass  Selección 115 g,1,"Está verde, no se puede comer."
Guineo 2 lb,1,Aplastados ya que lo pusieron con la piña y el jugo
Fresa 1 Lb,1,Media libra mala venían podridas
Muslo De Pollo Friovesa Peso Aprox 0.5 kg,1,No estaba completo
Fresa 1 Lb,1,Podridas estaban
Piña Unidad,1,"Esta bueno ,"
Guineo 2 lb,1,Muy maduros
Palta Hass  Selección 115 g,1,"Malísima y las elegí por q eran de selección,están verdes y ni se pueden comer además de  ser mínimas en tamaño"
Frambuesa 70 G Hortifrut,1,Todo molido  horrible
Fresa 1 Lb,1,"No está fresco , las fresas están un poco dañadas"
Banana Ecuador Elegida 1 kg,1,Me las enviaron totalmente pasadas de maduración
Ciruela Roja,1,No me llegaro esto
Manzana Colegiala,1,Es todo menos roja esta manzana
Palta Hass Chilena,1,Por el kilo
Zapallo italiano 1 un Del Productor,1,Se contaminó con una botella de cloro gel abierta.
Pechuga Pollo Acaramelada Super Pollo 150 g,1,Mal olor
Naranja Ombligo Importada Egipto 1 Unidad,1,Muy mala toda seca
